Site_Year,inOSR,NRNAME_real,NSRNAME_real,LUF_NAME_real,UrbanIndustrial,UrbanResidence,RuralResidentialIndustrial,IndustrialSiteRural,WindGenerationFacility,OtherDisturbedVegetation,MineSite,PeatMine,WellSite,Pipeline,TransmissionLine,SeismicLineNarrow,SeismicLineWide,RoadHardSurface,RailHardSurface,RoadTrailVegetated,RoadVegetatedVerge,RailVegetatedVerge,CultivationCrop,CultivationAbandoned,CultivationRoughPasture,CultivationTamePasture,HighDensityLivestockOperation,BorrowpitsDugoutsSumps,MunicipalWaterSewage,Reservoirs,Canals,ForestHarvest
W934_2008,FALSE,Foothills,Lower Foothills,Upper Peace,0,0,0,0,0,0,0,0,0,0,0,0,0.002799517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W974_2008,FALSE,Foothills,Lower Foothills,Upper Peace,0,0,0,0,0,0,0,0,0,0,0,0,0.039998307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W975_2008,FALSE,Foothills,Lower Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.024842302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217826182
W976_2008,FALSE,Foothills,Lower Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0.022412752,0,0,0.017010487,0.021550152,0,0.023839395,0,0,0,0,0,0,0,0,0,0,0,0
W1007_2008,FALSE,Foothills,Lower Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.020181437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222214218
W1008_2008,FALSE,Foothills,Lower Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.011780045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051296031
W1041_2008,FALSE,Foothills,Lower Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.05253091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1042_2008,FALSE,Foothills,Lower Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913349126
W1043_2008,FALSE,Foothills,Lower Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0.018685846,0.005646129,0,0,0.007398183,0,0,0.003510023,0,0,0,0,0,0,0,0,0,0,0,0
W1083_2008,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0.033523206,0.008887668,0,0.336855354,0,0,0,0,0,0,0,0.026011438,0,0,0,0,0.27164573,0,0,0,0,0,0,0,0,0
W1116_2008,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0.07820981,0,0,0.205444008,0,0,0.010575533,0,0,0,0.00918442,0.053387944,0,0.022732267,0,0,0,0,0,0,0,0,0,0,0,0
W1117_2008,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0.213053677,0,0,0,0.367190832,0,0,0,0,0,0,0,0.018928046,0,0,0.027561808,0,0.343621139,0,0,0,0,0.029644498,0,0,0,0
W1190_2008,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0,0,0,0,0,0,0.023861644,0,0,0,0,0.034849753,0,0,0.029278378,0,0.73767869,0,0,0,0,0,0,0,0,0
W1191_2008,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019786953,0,0,0.509599795,0,0,0,0,0,0,0,0,0
W1192_2008,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0.010810595,0,0,0.01480642,0,0,0,0,0,0,0,0,0,0,0,0
W1222_2008,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02545424,0,0.005002257,0,0,0.429622045,0,0.485477783,0,0,0,0,0,0,0
W1223_2008,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0,0.051373402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21182865,0,0,0,0,0,0,0
W1224_2008,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011910239,0,0,0.023398099,0,0.286965542,0,0.646258292,0,0,0,0,0,0,0
W1353_2008,FALSE,Foothills,Lower Foothills,North Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750814565
W1354_2008,FALSE,Foothills,Lower Foothills,North Saskatchewan,0,0,0,0,0,0,0,0,0.027574762,0.025232243,0,0,0.003714053,0,0,0.017169272,0,0,0,0,0,0,0,0,0,0,0,0
W1378_2008,FALSE,Foothills,Lower Foothills,North Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0.000494929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030088038
W1379_2008,FALSE,Foothills,Lower Foothills,Red Deer,0,0,0,0,0,0,0,0,0,0.026854425,0,0,0.006475402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1402_2008,FALSE,Foothills,Upper Foothills,North Saskatchewan,0,0,0,0,0,0,0,0,0,0.03243883,0,0,0.014659549,0,0,0,5.34E-05,0,0,0,0,0,0,0,0,0,0,0.219224673
W1403_2008,FALSE,Foothills,Lower Foothills,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01015142,0,0,0,0,0,0,0,0,0,0,0,0
W1434_2008,FALSE,Grassland,Northern Fescue,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033079252,0,0.018945225,0.03709575,0,0.768131945,0,0,0,0,0.000241427,0,0,0,0
W1435_2008,FALSE,Grassland,Northern Fescue,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94164597,0,0,0,0,0,0,0,0,0
W1436_2008,FALSE,Grassland,Dry Mixedgrass,Red Deer,0,0,0,0,0,0,0,0,0.026743811,0.030066103,0,0,0,0,0,0.007496714,0,0,0,0,0,0,0,0.006562976,0,0,0,0
W1456_2008,FALSE,Grassland,Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,6.65E-05,0,0,0,0,0,0,0,0,0,0.819315066,0,0,0,0,0.002035005,0,0,0,0
W1457_2008,FALSE,Grassland,Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0.019052031,0,0,0,0,0,0,0.002922342,0,0,0.90591329,0,0,0,0,0,0,0,0,0
W1477_2008,FALSE,Grassland,Mixedgrass,South Saskatchewan,0,0,0.016378959,0.067444371,0,0.390987001,0,0,0,0,0,0,0,0,0,0.004962239,0,0,0.477796626,0,0,0,0,0,0,0.003599744,0.017919432,0
W1619_2008,FALSE,Grassland,Mixedgrass,South Saskatchewan,0,0,0.020236365,0,0,0.608550143,0,0,0,0,0,0,0,0.03072737,0.00953663,0.012467687,0,0,0.199087165,0,0,0,0,0,0,0,0,0
W1635_2008,FALSE,Grassland,Foothills Fescue,South Saskatchewan,0,0,0.01764617,0,0,0,0,0,0,0,0,0,0,0,0,0.02666374,0,0,0.232681446,0,0,0,0,0.003703653,0,0,0,0
W1636_2008,FALSE,Grassland,Foothills Fescue,South Saskatchewan,0,0,0.026257604,0,0,0,0,0,0,0,0,0,0,0.030134923,0,0,0,0,0.834580721,0,0,0,0,0,0,0,0,0
W1637_2008,FALSE,Grassland,Foothills Fescue,South Saskatchewan,0,0,0.043816178,0,0,0,0,0,0,0,0,0,0.009990164,0.014575924,0,0.003005139,0,0,0.356994427,0,0,0,0,0.002036651,0,0,0,0
W1557_2008,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0.084967334,0.045502392,0,0,0,0,0,0.013997809,0,0,0,0,0,0,0,0,0,0,0.02474251,0
W1558_2008,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0.002925805,0,0,0,0,0.02589547,0,0,0,0,0.90097209,0,0,0,0,0,0,0,0,0
W1575_2008,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007359238,0,0,0,0,0.741295395,0,0,0,0,0.008155293,0,0,0.025086915,0
W1068_2008,FALSE,Rocky Mountain,Subalpine,Upper Peace,0,0,0,0,0,0,0,0,0,0,0,0,0.011340872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1069_2008,FALSE,Foothills,Upper Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.007561004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180229876
W1070_2008,FALSE,Foothills,Lower Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.027620895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1101_2008,FALSE,Foothills,Upper Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1102_2008,FALSE,Foothills,Upper Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.03496474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1103_2008,FALSE,Foothills,Upper Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.015062186,0.028577057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182513582
W1133_2008,FALSE,Rocky Mountain,Subalpine,Upper Peace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1134_2008,FALSE,Foothills,Upper Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.00412687,0.050357254,0,0,0.045564516,0,0,0,0,0,0,0,0,0,0,0.338894917
W1135_2008,FALSE,Rocky Mountain,Subalpine,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.008305465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587380995
W1_2009,TRUE,Canadian Shield,Kazan Uplands,Lower Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1277_2009,FALSE,Parkland,Central Parkland,Red Deer,0,0,0.036228463,0,0,0,0,0,0,0,0,0,0,0.026202709,0,0,0,0,0.305086974,0,0,0,0.072892016,0.014595522,0,0,0,0
W1303_2009,FALSE,Parkland,Central Parkland,Red Deer,0,0,0.005886842,0,0,0,0,0,0,0,0,0,0,0.029091238,0,0.004861101,0.039163553,0,0.788312083,0,0,0,0,0,0,0,0,0
W1084_2009,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0.112481547,0,0,0,0.205497645,0,0,0,0,0,0,0,0.128011784,0,0,0,0,0.275756738,0,0,0,0,0,0,0,0,0
W1556_2009,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0.052411669,0,0,0.007681561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1574_2009,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377626498,0,0,0,0,0,0,0,0.003104092,0
W1590_2009,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225708014,0,0,0,0,0,0,0.033948084,0,0
W1592_2009,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0.036644542,0,0,0.051799348,0,0,0,0,0,0,0,0.024808469,0,0.005667199,0,0,0.134584349,0,0,0,0.055488557,0,0,0,0,0
W1493_2009,FALSE,Grassland,Foothills Fescue,South Saskatchewan,0,0,0,0,0,0.342431244,0,0,0,0,0,0,0,0,0,0.004825466,0,0,0.288194487,0,0,0,0.061707352,0,0,0,0,0
W1510_2009,FALSE,Rocky Mountain,Montane,South Saskatchewan,0,0,0.063681824,0,0,0.071966339,0,0,0,0,0,0,0,0.024575511,0,0.006039695,0,0,0.470277092,0,0,0,0,0,0,0.005744438,0,0
W1511_2009,FALSE,Parkland,Foothills Parkland,South Saskatchewan,0,0,0.030930715,0,0,0,0,0,0,0.077779819,0,0,0,0,0,0.003245971,0,0,0.123814358,0,0,0,0,0,0,0,0,0
W1531_2009,FALSE,Grassland,Foothills Fescue,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0.00136963,0,0,0,0,0,0.846379255,0,0,0,0,0,0,0,0,0
W1610_2009,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0.016326682,0,0,0.439642,0,0,0,0,0,0,0,0.0363244,0,0,0,0,0.42031371,0,0,0,0,0,0,0,0,0
W1611_2009,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0.007943144,0.030443026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1612_2009,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0.071973539,0,0,0,0,0,0,0,0,0,0,0.032550525,0,0,0,0,0,0,0,0,0,0.004411907,0,0,0,0
W1627_2009,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0.59339269,0,0,0,0,0,0,0,0.012479068,0,0.027484756,0,0,0.357409757,0,0,0,0,0,0,0.00886925,0,0
W1629_2009,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0.031015809,0,0,0,0,0,0,0,0,0,0,0.000204416,0,0,0,0
W1644_2009,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0.033304666,0,0,0.001482079,0,0,0,0,0,0,0,0,0,0,0,0,0.084753454,0,0
W1645_2009,FALSE,Grassland,Mixedgrass,South Saskatchewan,0,0,0,0,0,0.128955089,0,0,0,0,0,0,0,0,0,0.030171412,0,0,0.742504037,0,0,0,0,0.009720443,0,0,0,0
W1646_2009,FALSE,Grassland,Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0.008709401,0,0,0,0,0,0,0,0,0,0,0,0,0.008123722,0,0
W1551_2009,FALSE,Grassland,Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01618413,0,6.33E-05,0,0,0.910107351,0,0,0,0,0,0,0,0,0
W1552_2009,FALSE,Grassland,Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02368242,0,0,0,0,0.338781589,0,0,0,0,0,0,0,0,0
W1567_2009,FALSE,Grassland,Mixedgrass,South Saskatchewan,0,0,0.035591468,0,0,0.148654227,0,0,0,0,0,0,0,0,0,0.029621336,0,0,0.502875334,0,0,0,0.113556342,0,0,0,0,0
W1568_2009,FALSE,Grassland,Mixedgrass,South Saskatchewan,0,0.00026029,0,0,0,0.642562358,0,0,0,0,0,0,0,0.024774663,0,0.012183172,0,0,0.224694876,0,0,0,0,0,0,0,0,0
W1569_2009,FALSE,Grassland,Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0.059095377,0,0,0,0,0,0,0,0,0.012252565,0,0,0,0,0,0,0,0.002103232,0,0,0,0
W1584_2009,FALSE,Grassland,Foothills Fescue,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0.021060819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1585_2009,FALSE,Grassland,Mixedgrass,South Saskatchewan,0,0.144590367,0.256340671,0,0,0.540799602,0,0,0,0,0,0,0,0.05826936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1591_2010,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0.017764811,0,0,0,0.00928313,0,0.006666173,0.015627083,0,0.043233375,0,0,0,0,0,0,0,0,0
W1465_2010,FALSE,Grassland,Dry Mixedgrass,Red Deer,0,0,0,0,0,0,0,0,0.008972261,0,0,0,0.002778469,0,0,0,0,0,0.573870175,0,0,0,0,0.003366844,0,0,0,0
W150_2010,FALSE,Canadian Shield,Kazan Uplands,Lower Peace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1443_2010,FALSE,Grassland,Dry Mixedgrass,Red Deer,0,0,0.0842183,0,0,0,0,0,0,0,0,0,0.006559318,0.007392636,0,0.010626971,0.013042116,0,0,0,0,0,0.014502544,0.006622567,0,0,0,0
W1628_2010,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018917314,0,0,0.027222937,0,0.035827569,0,0,0,0,0,0,0,0,0
W1550_2010,FALSE,Grassland,Foothills Fescue,South Saskatchewan,0,0,0.030165703,0,0,0.140759855,0,0,0,0,0,0,0,0,0,0.004357675,0,0,0.799372408,0,0,0,0,0.002500212,0,0,0,0
W1586_2010,FALSE,Grassland,Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0.002627,0,0,0,0,0.018786953,0,0.005138454,0.031165783,0,0.863096929,0,0,0,0,0,0,0,0,0
W1492_2010,FALSE,Grassland,Foothills Fescue,South Saskatchewan,0,0.191898706,0,0,0,0.703398002,0,0,0,0,0,0,0,0.041985938,0,0,0.060710204,0,0,0,0,0,0,0,0,0,0,0
W1539_2010,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023388543,0,0,0.931786924,0,0,0,0,0.018722487,0,0,0.026102046,0
W1538_2010,FALSE,Grassland,Dry Mixedgrass,South Saskatchewan,0,0,0,0,0,0,0,0,0,0.021869428,0,0,0,0,0,0.027246851,0,0,0.32290476,0,0.420826024,0,0,0.009611433,0,0,0.016816317,0
W1203_2010,FALSE,Foothills,Upper Foothills,Upper Athabasca,0,0,0,0,0,0,0.728675501,0,0,0,0,0,0.001954025,0,0,0.027318651,0,0,0,0,0,0,0,0,0,0,0,0.034622507
W875_2010,FALSE,Foothills,Lower Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.029747181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014949327
W1202_2010,FALSE,Foothills,Upper Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.009350261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475156631
W876_2010,FALSE,Foothills,Upper Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.001425524,0,0,0.026777433,0,0,0,0,0,0,0,0,0,0,0,0.214135872
W1175_2010,FALSE,Foothills,Lower Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.029317828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W909_2010,FALSE,Foothills,Upper Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.023920703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432662624
W1169_2010,FALSE,Foothills,Upper Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.011309719,0,0,0.017058808,0,0,0,0,0,0,0,0,0,0,0,0.528156966
W1208_2010,FALSE,Foothills,Lower Foothills,North Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0.017268076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W908_2010,FALSE,Foothills,Lower Foothills,Upper Peace,0,0,0,0,0,0,0,0,0.015896234,0.015553334,0,0,0.044371247,0,0,0.023215148,0,0,0,0,0,0,0,0,0,0,0,0.04583809
W1170_2010,FALSE,Foothills,Upper Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.005643424,0,0,0.00043038,0,0,0,0,0,0,0,0,0,0,0,0.346610302
W942_2010,FALSE,Foothills,Upper Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.00626505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335013238
W1035_2010,FALSE,Foothills,Upper Foothills,Upper Peace,0,0,0,0,0,0,0,0,0,0,0,0,0.010952596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1209_2010,FALSE,Foothills,Lower Foothills,North Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0.014713539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W877_2010,FALSE,Foothills,Upper Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0.029281041,0.000226631,0,0,0.004629728,0.012049533,0,0,0.021802859,0,0,0,0,0,0,0,0,0,0,0.409943
W1171_2010,FALSE,Foothills,Lower Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0.02048645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1037_2010,FALSE,Foothills,Upper Foothills,Upper Peace,0,0,0,0,0,0,0,0,0,0,0,0,0.008033381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1237_2010,FALSE,Foothills,Lower Foothills,North Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0.008578146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W910_2010,FALSE,Foothills,Upper Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169624125
W943_2010,FALSE,Foothills,Upper Foothills,Upper Athabasca,0,0,0,0,0,0,0,0,0.054304118,0.010398465,0,0,0.000904053,0,0,0.017403446,0,0,0,0,0,0,0,0,0,0,0,0.721959
OGW-ABMI-994-1_2011,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0,0,0,0.541279962,0,0,0.005196467,0,0,0,0,0,0,0.000397487,0,0,0,0,0,0,0,0,0,0,0,0
OGW-ABMI-1058-1_2011,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0.036038356,0,0,0.003558728,0,0,0,0,0,0,0,0.024224032,0,0,0,0,0.576252979,0,0,0,0,0,0,0,0,0
OGW-ABMI-1122-1_2011,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0.018789857,0,0,0,0,0,0,0,0,0,0.028591037,0.017573941,0,0,0,0,0.316439767,0,0,0,0,0,0,0,0,0
OGW-ABMI-1126-1_2011,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0,0,0,0.015852432,0,0,0,0,0,0,0.037977191,0.026119611,0,0,0,0,0.130352254,0,0,0,0,0,0,0,0,0
OGW-ABMI-1150-1_2011,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0.010213434,0,0,0,0,0,0.082060648,0,0.015957424,0,0,0,0,0,0,0
OGW-ABMI-1155-1_2011,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028579656,0,0.004351616,0,0,0.00992198,0,0.287195477,0,0,0,0,0,0,0
OGW-ABMI-1190-1_2011,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0.168977614,0,0,0,0,0,0,0,0,0,0.02004728,0,0,0,0,0,0.008748799,0,0,0,0,0,0,0,0,0
OGW-ABMI-1192-1_2011,FALSE,Parkland,Central Parkland,North Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGW-ABMI-1247-1_2011,FALSE,Parkland,Central Parkland,Red Deer,0,0,0,0,0,0,0,0,0,0,0,0,0.003881715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGW-ABMI-1331-1_2011,FALSE,Parkland,Central Parkland,Red Deer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGW-ABMI-1332-1_2011,FALSE,Parkland,Central Parkland,Red Deer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGW-ABMI-1470-1_2011,FALSE,Parkland,Foothills Parkland,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGW-ABMI-1640-1_2011,FALSE,Grassland,Foothills Fescue,South Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0.012466734,0,0,0,0,0,0.105357875,0,0,0,0,0.001580039,0,0,0,0
W64_2011,TRUE,Canadian Shield,Kazan Uplands,Lower Athabasca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
